id,score,total_errors,popularity
35344893,-1,11,unpopular
41373624,-1,5,unpopular
39046812,-1,4,unpopular
29170833,-1,7,unpopular
47239923,-1,8,unpopular
41211002,-1,1,unpopular
34314348,-1,3,unpopular
34897833,-1,2,unpopular
52077484,-1,7,unpopular
51404980,-1,9,unpopular
21879278,-1,9,unpopular
38469382,-1,9,unpopular
15359131,-1,3,unpopular
33076357,-1,56,unpopular
33364766,-1,3,unpopular
44000649,-1,2,unpopular
39342840,-1,1,unpopular
12312138,-1,3,unpopular
36476502,-1,9,unpopular
18946139,-1,18,unpopular
29828328,-1,1,unpopular
17654505,-1,7,unpopular
46090183,-1,7,unpopular
23125492,-1,1,unpopular
39668568,-1,4,unpopular
50981612,-1,4,unpopular
39452837,-1,8,unpopular
41360016,-1,2,unpopular
30528422,-1,1,unpopular
52682466,-1,6,unpopular
46090497,-1,2,unpopular
41541455,-1,31,unpopular
35383942,-1,6,unpopular
38930531,-1,2,unpopular
41362286,-1,1,unpopular
20615273,-1,1,unpopular
51530485,-1,9,unpopular
32195145,-1,2,unpopular
48267946,-1,4,unpopular
7718680,-1,1,unpopular
51572913,-1,9,unpopular
35717071,-1,1,unpopular
31527997,-1,1,unpopular
30505682,-1,4,unpopular
41055793,-1,7,unpopular
35772171,-1,3,unpopular
12910568,-1,2,unpopular
48031730,-1,3,unpopular
51478672,-1,1,unpopular
8871590,-1,39,unpopular
37800453,-1,5,unpopular
24379185,-1,59,unpopular
50263064,-1,10,unpopular
13952183,-1,3,unpopular
26671166,-1,9,unpopular
26355424,-1,1,unpopular
38193868,-1,1,unpopular
22194268,-1,3,unpopular
48276437,-1,2,unpopular
26103321,-1,6,unpopular
22226834,-1,11,unpopular
52309841,-1,1,unpopular
33930030,-1,2,unpopular
29978633,-1,1,unpopular
53745626,-1,1,unpopular
11626341,-1,2,unpopular
18938329,-1,104,unpopular
22502542,-1,6,unpopular
52829503,-1,2,unpopular
44655730,-1,5,unpopular
56408633,-1,4,unpopular
51532835,-1,2,unpopular
51190306,-1,10,unpopular
35523259,-1,1,unpopular
17905806,-1,1,unpopular
29069544,-1,2,unpopular
44914022,-1,3,unpopular
15866172,-1,1,unpopular
47157345,-1,102,unpopular
35864348,-1,1,unpopular
41682528,-1,2,unpopular
32844590,-1,2,unpopular
57226624,-1,1,unpopular
27636106,-1,2,unpopular
16323507,-1,2,unpopular
23510973,-1,4,unpopular
28641841,-1,1,unpopular
53492150,-1,1,unpopular
30093134,-1,4,unpopular
28791843,-1,1,unpopular
47863911,-1,1,unpopular
43020175,-1,6,unpopular
15433708,-1,37,unpopular
33020449,-1,5,unpopular
37859223,-1,8,unpopular
26294534,-1,2,unpopular
38009685,-1,10,unpopular
15821690,-1,1,unpopular
45198008,-1,1,unpopular
57874825,-1,3,unpopular
21105499,-1,2,unpopular
42896039,-1,3,unpopular
