id,score,total_errors,popularity
48474925,-5,9,unpopular
37019044,-5,6,unpopular
39201011,-5,7,unpopular
28624753,-5,1,unpopular
43252508,-5,6,unpopular
24046400,-5,8,unpopular
22280846,-5,24,unpopular
13168927,-5,10,unpopular
19353344,-5,17,unpopular
19898220,-5,35,unpopular
31388120,-5,1,unpopular
21412341,-5,4,unpopular
31157067,-5,4,unpopular
30522276,-5,35,unpopular
48589760,-5,2,unpopular
49117276,-5,23,unpopular
32525975,-5,2,unpopular
55596874,-5,9,unpopular
28621372,-5,9,unpopular
23417425,-5,20,unpopular
42226645,-5,11,unpopular
24780384,-5,6,unpopular
35866655,-5,13,unpopular
23210476,-5,3,unpopular
21315194,-5,6,unpopular
44193251,-5,4,unpopular
48918275,-5,1,unpopular
40436025,-5,4,unpopular
48656423,-5,10,unpopular
11105718,-5,7,unpopular
21726767,-5,15,unpopular
26586812,-5,7,unpopular
34044408,-5,24,unpopular
43983950,-5,4,unpopular
39342551,-5,7,unpopular
32969399,-5,3,unpopular
17857044,-5,49,unpopular
20400947,-5,11,unpopular
19314439,-5,13,unpopular
49605394,-5,4,unpopular
30790876,-5,1,unpopular
16265632,-5,9,unpopular
20689356,-5,9,unpopular
34149362,-5,2,unpopular
49110737,-5,1,unpopular
23561339,-5,41,unpopular
26231952,-5,5,unpopular
51456380,-5,13,unpopular
30978154,-5,16,unpopular
44965864,-5,13,unpopular
35105341,-5,4,unpopular
42406519,-5,4,unpopular
45229889,-5,4,unpopular
47854174,-5,2,unpopular
47548923,-5,15,unpopular
49478395,-5,1,unpopular
62016488,-5,2,unpopular
45605256,-5,1,unpopular
50515311,-5,7,unpopular
41717995,-5,8,unpopular
47749733,-5,54,unpopular
50723646,-5,11,unpopular
24423008,-5,4,unpopular
11080994,-5,52,unpopular
18505369,-5,5,unpopular
16310634,-5,68,unpopular
28915294,-5,23,unpopular
45219611,-5,2,unpopular
37880784,-5,26,unpopular
46925312,-5,1,unpopular
28500599,-5,3,unpopular
23620362,-5,5,unpopular
18116143,-5,3,unpopular
20866040,-5,7,unpopular
42172176,-5,29,unpopular
34540409,-5,3,unpopular
27967967,-5,1,unpopular
35931848,-5,1,unpopular
45342311,-5,2,unpopular
20950449,-5,35,unpopular
31316740,-5,19,unpopular
46444730,-5,22,unpopular
43204536,-5,33,unpopular
46423155,-5,47,unpopular
31501041,-5,1,unpopular
44857858,-5,8,unpopular
47412262,-5,5,unpopular
31876196,-5,8,unpopular
32125246,-5,16,unpopular
44363088,-5,21,unpopular
36995386,-5,5,unpopular
18240618,-5,20,unpopular
23474178,-5,9,unpopular
41672595,-5,11,unpopular
34511837,-5,1,unpopular
48704404,-5,6,unpopular
57899975,-5,2,unpopular
32124771,-5,4,unpopular
56187367,-5,10,unpopular
29510975,-5,15,unpopular
23732296,-5,7,unpopular
