id,n_lines
850341,12
900161,29
566412,31
450213,24
784726,32
950711,2
1001696,19
569770,14
788768,4
681011,6
238326,5
955333,11
955627,11
955198,40
1005435,11
1065951,32
790636,5
511946,5
511838,7
956892,5
1112530,8
512713,5
1064892,51
513148,10
1067111,6
857899,21
1067884,27
685846,5
573526,18
1114377,17
628793,5
744818,28
629549,16
685277,11
960425,23
459737,19
792823,12
1116963,20
1116963,9
515742,14
414771,7
461846,4
912610,16
416420,7
518725,2
795694,21
913444,5
798393,2
964516,27
964516,34
751269,10
1013577,29
749975,30
749975,32
692897,12
967003,3
752850,2
1119593,17
1074373,38
1075184,29
915746,19
1013902,44
1075618,51
465416,2
1121482,24
1121487,61
636585,15
754305,31
523920,5
917838,7
1078002,5
583606,56
582417,16
918856,27
869775,21
1078848,14
756162,31
1079025,8
1078536,38
756612,43
919962,9
1078400,12
425187,50
756922,6
640011,11
1080125,24
1080125,56
757164,11
587586,5
472279,6
472297,6
871249,5
1128814,55
809787,32
926384,36
1023346,12
704202,3
928315,61
762680,4
762724,37
476076,4
592678,2
1085792,40
812553,32
1133884,2
706901,33
537305,15
537177,43
1032104,3
712077,15
1137523,11
818821,9
715352,34
1034143,14
484265,4
541323,27
1036386,2
1036886,6
716537,7
1139520,15
1140807,21
541678,6
544532,12
544532,15
1147954,19
1147954,9
